order_id,customer_id,order_date,delivery_date,status,shipping_cost,total_amount,payment_method,ship_method,coupon_code,ship_city,ship_country
49,8,2022-10-14,2022-10-15,Delivered,0.0,2391.36,Credit Card,Standard,,Memphis,USA
50,8,2023-02-20,2023-02-23,Delivered,14.99,143.72,Gift Card,Priority,,El Paso,USA
51,8,2022-07-04,,Shipped,14.99,1382.18,Credit Card,Standard,,Indianapolis,USA
52,8,2023-12-27,2024-01-03,Delivered,9.99,2907.78,Gift Card,Expedited,,Portland,USA
53,8,2022-06-18,2022-06-24,Delivered,5.99,661.24,Amazon Pay,Priority,,Louisville,USA
54,9,2023-04-07,2023-04-09,Delivered,0.0,1208.2,Debit Card,Same-Day,WELCOME5,San Antonio,UK
55,10,2023-01-27,,Processing,19.99,1718.82,Gift Card,Standard,,Munich,USA
56,10,2023-09-26,,Shipped,0.0,36.53,Gift Card,Expedited,,Toronto,Germany
57,10,2023-09-19,2023-09-20,Delivered,29.99,2469.35,Credit Card,Expedited,,Columbus,USA
58,11,2021-06-30,,Processing,0.0,1150.42,PayPal,Standard,,Columbus,USA
59,12,2023-12-11,2023-12-13,Delivered,9.99,2981.94,Credit Card,Priority,FLASH25,San Antonio,USA
60,14,2022-12-26,2022-12-30,Delivered,14.99,3318.43,Amazon Pay,Standard,,Dallas,Canada
61,14,2021-01-14,,Shipped,0.0,2958.01,Credit Card,Expedited,,Dallas,USA
62,14,2024-02-16,,Cancelled,5.99,3025.48,Amazon Pay,Priority,SUMMER20,Nashville,USA
63,15,2023-10-07,,Processing,19.99,3127.17,Debit Card,Expedited,,Oklahoma City,Germany
64,15,2022-08-13,2022-08-18,Delivered,14.99,3187.6,PayPal,Standard,,Dallas,USA
65,15,2021-03-22,2021-03-24,Delivered,5.99,2240.69,Debit Card,Same-Day,,San Diego,USA
66,15,2025-11-22,,,9.99,127.92,Gift Card,Priority,,San Antonio,USA
67,15,2022-09-14,,Shipped,14.99,2163.01,Amazon Pay,Priority,,Charlotte,USA
68,16,2024-07-29,2024-08-01,Returned,19.99,1452.35,Gift Card,Priority,,Denver,USA
69,16,2021-05-23,2021-05-25,Delivered,0.0,2479.4,PayPal,Same-Day,,Dallas,USA
70,16,2024-05-27,2024-06-03,Delivered,19.99,1073.99,Credit Card,Expedited,WELCOME5,Indianapolis,USA
71,17,2023-09-30,2023-10-02,Delivered,9.99,1214.07,PayPal,Expedited,,Tucson,USA
72,17,2022-01-06,,Processing,5.99,918.59,Credit Card,Priority,,Louisville,USA
73,17,2024-03-15,2024-03-18,Delivered,0.0,1793.14,Amazon Pay,Expedited,,Birmingham,USA
74,17,2021-07-29,,Cancelled,29.99,643.97,Amazon Pay,Priority,,Tucson,USA
75,17,2022-02-11,2022-02-14,Returned,14.99,2297.33,Credit Card,Standard,,Jacksonville,USA
76,17,2024-03-26,2024-03-31,Delivered,9.99,3086.64,Credit Card,Expedited,,Nashville,USA
77,17,2024-02-07,2024-02-09,Delivered,0.0,1144.61,Debit Card,Same-Day,,Birmingham,USA
78,18,2023-05-06,2023-05-10,Delivered,9.99,2582.53,PayPal,Standard,SAVE10,Los Angeles,Australia
79,18,2022-11-13,,Shipped,14.99,2839.56,Debit Card,Priority,,Berlin,Australia
80,18,2023-06-18,2023-06-20,Delivered,9.99,253.89,Debit Card,Priority,,London,Canada
81,18,2021-08-19,2021-08-23,Delivered,29.99,1150.8,Gift Card,Same-Day,,San Jose,USA
82,18,2021-07-21,2021-07-28,Delivered,19.99,2769.14,PayPal,Standard,,San Francisco,UK
83,18,2023-09-29,2023-10-06,Delivered,9.99,1820.0,Credit Card,Same-Day,FLASH25,Memphis,Canada
84,18,2023-01-02,2023-01-04,Delivered,9.99,3235.82,Credit Card,Same-Day,,Seattle,USA
85,19,2023-03-06,2023-03-13,Delivered,29.99,2012.74,PayPal,Same-Day,FLASH25,Sydney,USA
86,19,2021-02-16,2021-02-22,Delivered,29.99,3244.75,Credit Card,Expedited,SUMMER20,Fort Worth,Canada
87,20,2024-08-31,2024-09-02,Delivered,29.99,,Debit Card,Same-Day,,Melbourne,Canada
88,20,2021-07-10,2021-07-11,Delivered,0.0,2220.18,PayPal,Expedited,,Tucson,USA
89,20,2023-08-14,2023-08-15,Delivered,29.99,2613.61,PayPal,Expedited,,Jacksonville,USA
90,22,2021-03-07,2021-03-08,Returned,19.99,2601.6,Amazon Pay,Same-Day,,Columbus,USA
91,22,2022-08-25,2022-08-27,Delivered,5.99,,Credit Card,Expedited,,Denver,USA
92,22,2021-07-25,2021-07-28,Delivered,14.99,2393.82,Credit Card,Standard,,Oklahoma City,USA
93,22,2021-11-04,2021-11-07,Delivered,0.0,2941.57,Credit Card,Standard,FLASH25,Louisville,USA
94,22,2024-09-03,2024-09-10,Delivered,19.99,2337.66,Debit Card,Priority,,San Antonio,USA
95,22,2023-07-19,2023-07-21,Delivered,9.99,3273.74,PayPal,Standard,,Dallas,USA
96,22,2021-02-25,,Shipped,19.99,2727.04,Credit Card,Expedited,,Memphis,Germany
97,22,2021-11-28,2021-11-29,Returned,5.99,220.48,Debit Card,Expedited,PRIME15,Melbourne,USA
98,22,2023-04-25,2023-04-27,Delivered,5.99,1863.35,Credit Card,Standard,,New York,USA
99,22,2022-08-08,2022-08-10,Delivered,0.0,2160.32,Amazon Pay,Priority,,Milwaukee,USA
100,22,2024-06-29,2024-07-02,Delivered,19.99,2726.55,PayPal,Same-Day,SUMMER20,Toronto,USA
101,22,2021-10-08,,Shipped,0.0,395.86,Gift Card,Expedited,,Columbus,USA
102,23,2024-02-09,2024-02-10,Delivered,5.99,2674.42,Gift Card,Standard,WELCOME5,New York,UK
103,23,2021-07-19,,Processing,0.0,2078.69,Credit Card,Standard,,Philadelphia,USA
104,23,2023-11-08,2023-11-12,Delivered,0.0,198.05,Credit Card,Standard,,London,USA
105,23,2023-10-05,,Shipped,9.99,620.68,Debit Card,Expedited,,Las Vegas,UK
106,24,2023-07-05,,Cancelled,14.99,895.62,Credit Card,Standard,SAVE10,Fort Worth,Germany
107,24,2023-04-05,2023-04-12,Delivered,9.99,3227.67,PayPal,Priority,,Las Vegas,Australia
108,25,2023-12-11,2023-12-18,Delivered,29.99,1667.76,PayPal,Expedited,PRIME15,San Antonio,USA
109,25,2022-11-08,2022-11-09,Delivered,29.99,416.51,Amazon Pay,Expedited,SUMMER20,Chicago,USA
110,25,2024-09-03,,Shipped,14.99,2691.27,Debit Card,Standard,,New York,USA
111,25,2022-05-26,2022-05-29,Delivered,0.0,901.77,Debit Card,Standard,,Berlin,Canada
112,26,2024-05-26,2024-05-30,Delivered,19.99,237.26,Debit Card,Expedited,PRIME15,Berlin,UK
113,26,2022-08-23,2022-08-27,Delivered,0.0,528.06,Amazon Pay,Priority,,Seattle,USA
114,26,2022-04-23,2022-04-30,Delivered,0.0,746.16,Debit Card,Standard,,Sydney,USA
115,27,2023-07-03,2023-07-04,Delivered,5.99,586.35,PayPal,Standard,SAVE10,Tucson,USA
116,27,2023-11-22,2023-11-25,Returned,0.0,320.69,Credit Card,Standard,,Manchester,USA
117,27,2022-04-27,,Processing,29.99,2157.08,Debit Card,Priority,,San Diego,USA
118,27,2023-06-30,2023-07-06,Delivered,14.99,2194.6,Gift Card,Standard,,Manchester,USA
119,27,2022-06-17,,Shipped,0.0,2654.84,Credit Card,Same-Day,,Albuquerque,Canada
120,27,2023-02-05,2023-02-06,Returned,0.0,2843.43,Amazon Pay,Standard,,Philadelphia,USA
121,27,2022-01-22,,Cancelled,5.99,2088.92,Debit Card,Priority,WELCOME5,Vancouver,Australia
122,27,2022-07-08,2022-07-13,Delivered,14.99,3164.3,PayPal,Priority,,Houston,USA
123,27,2021-03-30,2021-04-02,Delivered,0.0,912.69,PayPal,Expedited,,Milwaukee,USA
124,27,2023-10-10,2023-10-16,Delivered,9.99,1001.57,Gift Card,Same-Day,,Louisville,USA
125,27,2021-08-08,2021-08-11,Returned,29.99,2308.62,Credit Card,Expedited,FLASH25,Denver,Germany
126,27,2023-02-10,,Cancelled,19.99,934.26,Amazon Pay,Standard,,Phoenix,USA
127,28,2021-11-10,2021-11-13,Delivered,0.0,567.73,Amazon Pay,Expedited,SUMMER20,Manchester,UK
128,28,2021-09-14,2021-09-19,Delivered,29.99,2727.54,Gift Card,Same-Day,,Chicago,USA
129,28,2021-10-09,,Shipped,0.0,3467.18,Debit Card,Expedited,PRIME15,Los Angeles,Germany
130,30,2022-09-07,2022-09-09,Delivered,0.0,2056.88,Credit Card,Priority,SAVE10,Baltimore,USA
131,30,2022-04-22,2022-04-26,Delivered,0.0,1202.63,Credit Card,Standard,WELCOME5,Montreal,USA
132,30,2023-04-01,,Processing,19.99,86.54,Credit Card,Standard,,San Jose,USA
133,30,2021-09-13,2021-09-14,Delivered,19.99,120.16,Credit Card,Expedited,PRIME15,Phoenix,Canada
134,31,2021-05-14,2021-05-16,Delivered,14.99,1888.46,Gift Card,Standard,PRIME15,Tucson,UK
135,31,2021-10-25,2021-10-28,Delivered,5.99,1453.81,Amazon Pay,Standard,,Jacksonville,USA
136,31,2024-07-07,,Cancelled,14.99,1483.43,Amazon Pay,Expedited,FLASH25,Munich,UK
137,32,2022-10-01,2022-10-05,Delivered,19.99,3124.91,Credit Card,Standard,,Houston,USA
138,32,2021-09-12,2021-09-14,Delivered,19.99,640.23,Credit Card,Same-Day,FLASH25,Louisville,USA
139,32,2022-12-21,2022-12-22,Delivered,9.99,2392.85,Gift Card,Expedited,SAVE10,Baltimore,USA
140,32,2022-05-25,,Cancelled,19.99,448.91,Credit Card,Standard,PRIME15,Vancouver,USA
141,32,2021-04-11,2021-04-16,Delivered,14.99,1060.95,Debit Card,Standard,,Houston,USA
142,32,2023-02-10,,Cancelled,5.99,2751.45,PayPal,Expedited,,Baltimore,USA
143,32,2022-11-01,,Cancelled,0.0,2872.47,Credit Card,Priority,,Albuquerque,USA
144,32,2024-01-06,2024-01-11,Delivered,5.99,2690.34,Gift Card,Standard,PRIME15,Dallas,USA
145,32,2023-01-27,,Shipped,9.99,2743.64,PayPal,Standard,FLASH25,Denver,USA
146,32,2021-08-11,,Cancelled,14.99,2132.76,PayPal,Priority,,San Diego,USA
147,34,2022-01-06,2022-01-08,Returned,9.99,2431.88,Credit Card,Expedited,PRIME15,Los Angeles,USA
148,34,2021-06-11,2021-06-14,Delivered,0.0,332.13,Credit Card,Expedited,,New York,UK
149,34,2021-01-31,2021-02-04,Delivered,9.99,1689.39,Amazon Pay,Expedited,,Sydney,Germany
150,34,2023-01-04,2023-01-05,Returned,5.99,1566.94,Credit Card,Priority,,Milwaukee,USA
151,34,2021-10-29,2021-10-31,Delivered,14.99,886.79,Credit Card,Same-Day,PRIME15,Las Vegas,Australia
152,34,2023-03-02,2023-03-03,Delivered,5.99,3408.22,Credit Card,Priority,SUMMER20,Dallas,USA
153,34,2024-02-16,2024-02-21,Delivered,5.99,1273.48,Credit Card,Standard,,Milwaukee,USA
154,35,2024-08-29,,Processing,9.99,1191.5,Debit Card,Expedited,,Fort Worth,USA
155,35,2023-07-06,,Shipped,14.99,2681.07,Debit Card,Expedited,,Albuquerque,USA
156,35,2022-02-27,2022-03-05,Delivered,19.99,2378.03,Amazon Pay,Expedited,,Austin,USA
157,35,2023-08-31,,Processing,19.99,1904.73,PayPal,Same-Day,,San Francisco,USA
158,35,2024-07-25,2024-07-26,Delivered,29.99,3426.22,PayPal,Standard,,Charlotte,USA
159,35,2022-04-16,,Shipped,29.99,3223.71,Debit Card,Expedited,FLASH25,Portland,USA
160,35,2023-08-30,2023-09-02,Delivered,0.0,2950.53,Credit Card,Standard,,Memphis,USA
161,36,2023-05-26,2023-06-02,Delivered,29.99,1877.43,Debit Card,Same-Day,,Birmingham,USA
162,36,2021-02-01,,Processing,14.99,440.43,Gift Card,Standard,WELCOME5,Louisville,Germany
163,36,2024-03-09,2024-03-13,Delivered,14.99,1805.58,Debit Card,Standard,SUMMER20,Oklahoma City,Canada
164,37,2021-09-30,2021-10-01,Returned,9.99,2386.77,Debit Card,Expedited,FLASH25,San Francisco,USA
165,37,2022-07-03,2022-07-05,Delivered,19.99,800.08,Amazon Pay,Expedited,,San Diego,UK
166,37,2023-10-21,2023-10-25,Delivered,0.0,3303.52,Gift Card,Standard,FLASH25,Sydney,UK
167,37,2022-03-11,2022-03-13,Delivered,29.99,418.24,Credit Card,Standard,,London,USA
168,37,2023-08-03,,Cancelled,0.0,3186.04,Gift Card,Priority,FLASH25,Louisville,USA
169,38,2024-01-27,2024-02-03,Delivered,5.99,1349.17,Amazon Pay,Standard,,Indianapolis,USA
170,39,2023-11-12,2023-11-19,Delivered,9.99,2742.8,PayPal,Same-Day,,Nashville,USA
171,39,2024-04-20,,Processing,29.99,N/A,PayPal,Priority,,Memphis,USA
172,40,2024-04-19,,Cancelled,0.0,1166.61,PayPal,Expedited,PRIME15,Seattle,USA
173,40,2021-06-01,2021-06-07,Delivered,5.99,1053.83,Amazon Pay,Standard,,Albuquerque,UK
174,40,2022-10-26,2022-10-30,Delivered,14.99,948.34,Debit Card,Standard,,Birmingham,USA
175,41,2023-05-10,2023-05-12,Delivered,0.0,1328.94,PayPal,Priority,PRIME15,Berlin,USA
176,41,2021-02-01,2021-02-03,Delivered,14.99,1948.42,Amazon Pay,Priority,,Munich,USA
177,41,2023-01-16,2023-01-19,Delivered,9.99,640.33,Amazon Pay,Expedited,,Berlin,USA
178,41,2021-09-17,2021-09-18,Delivered,19.99,2676.36,Gift Card,Priority,PRIME15,New York,USA
179,42,2024-02-08,2024-02-15,Delivered,14.99,1296.22,Amazon Pay,Standard,,Montreal,USA
180,43,2023-08-02,2023-08-04,Returned,0.0,2351.67,Debit Card,Priority,,Phoenix,USA
181,44,2024-08-13,2024-08-15,Delivered,14.99,2497.57,Credit Card,Priority,,San Jose,Germany
182,44,2023-09-05,,Processing,0.0,1577.98,Credit Card,Standard,SUMMER20,Dallas,USA
183,44,2024-02-08,,Processing,5.99,1706.51,Gift Card,Priority,,Sydney,USA
184,44,2021-09-16,,Processing,0.0,N/A,PayPal,Same-Day,FLASH25,El Paso,USA
185,44,2022-07-18,2022-07-22,Delivered,29.99,484.68,PayPal,Priority,WELCOME5,Munich,USA
186,45,2021-01-11,2021-01-12,Delivered,19.99,3309.17,Credit Card,Priority,SAVE10,Philadelphia,USA
187,45,2023-05-10,2023-05-14,Delivered,14.99,3235.44,Amazon Pay,Expedited,,Las Vegas,UK
188,45,2024-08-06,2024-08-07,Delivered,5.99,3411.79,Debit Card,Expedited,,Jacksonville,USA
189,47,2023-01-13,2023-01-20,Delivered,9.99,195.81,Credit Card,Priority,,Milwaukee,Australia
190,47,2022-10-05,2022-10-06,Delivered,5.99,3172.12,Gift Card,Standard,WELCOME5,Oklahoma City,USA
191,47,2022-04-10,2022-04-17,Delivered,9.99,1452.08,PayPal,Standard,,Berlin,USA
192,48,2023-08-26,2023-08-30,Delivered,0.0,3358.08,PayPal,Priority,SAVE10,Nashville,UK
193,48,2021-06-19,2021-06-26,Delivered,0.0,133.97,Gift Card,Expedited,SAVE10,Jacksonville,USA
194,48,2023-08-18,,Shipped,29.99,2769.43,Amazon Pay,Standard,,Baltimore,UK
195,48,2021-05-04,,Cancelled,14.99,1529.62,Debit Card,Same-Day,FLASH25,San Francisco,USA
196,48,2024-01-15,2024-01-17,Delivered,0.0,1119.54,Credit Card,Expedited,,Manchester,USA
197,48,2022-11-09,,Processing,29.99,1560.72,Credit Card,Priority,,El Paso,USA
198,48,2021-06-13,,Processing,0.0,728.91,Debit Card,Standard,WELCOME5,El Paso,USA
199,49,2021-03-29,2021-04-01,Returned,19.99,106.17,Amazon Pay,Expedited,,San Antonio,USA
200,49,2023-11-06,,Cancelled,19.99,76.65,Amazon Pay,Expedited,,Jacksonville,USA
201,49,2024-07-22,2024-07-26,Delivered,5.99,3218.63,Credit Card,Expedited,,Jacksonville,USA
202,49,2021-06-19,2021-06-21,Delivered,5.99,2749.42,Credit Card,Standard,,Baltimore,USA
203,50,2022-10-17,2022-10-20,Delivered,19.99,3257.45,Debit Card,Standard,,Munich,USA
204,50,2021-03-07,2021-03-09,Returned,29.99,1728.17,PayPal,Priority,,Birmingham,USA
205,50,2022-12-26,2023-01-01,Delivered,0.0,3197.96,Credit Card,Standard,PRIME15,Denver,Germany
206,50,2022-03-19,,Shipped,0.0,719.39,Credit Card,Standard,,Chicago,USA
207,51,2021-04-04,2021-04-09,Delivered,29.99,1001.9,Debit Card,Expedited,SAVE10,El Paso,Germany
208,51,2024-06-16,2024-06-21,Delivered,29.99,2627.65,Credit Card,Priority,,Memphis,USA
209,51,2021-05-25,2021-05-26,Delivered,9.99,1997.19,PayPal,Expedited,WELCOME5,Houston,USA
210,51,2024-01-25,,Cancelled,9.99,927.06,Amazon Pay,Standard,FLASH25,Dallas,USA
211,51,2024-09-18,2024-09-23,Delivered,5.99,2037.88,Amazon Pay,Standard,,Portland,Canada
212,51,2023-07-28,,Cancelled,29.99,558.54,Credit Card,Standard,,Vancouver,USA
213,51,2023-02-17,,Processing,9.99,650.92,PayPal,Standard,,Jacksonville,Australia
214,51,2021-11-03,2021-11-10,Delivered,5.99,2997.48,Credit Card,Standard,,Baltimore,USA
215,51,2022-12-31,2023-01-01,Delivered,14.99,1949.69,Credit Card,Priority,,Philadelphia,USA
216,52,2023-06-29,2023-07-06,Delivered,0.0,992.75,Amazon Pay,Standard,,Sydney,UK
217,52,2024-01-18,2024-01-20,Returned,29.99,659.38,PayPal,Standard,,Portland,USA
218,52,2022-04-18,2022-04-22,Delivered,0.0,2792.71,Credit Card,Standard,WELCOME5,Jacksonville,USA
219,52,2022-06-08,2022-06-10,Returned,19.99,,Credit Card,Priority,SAVE10,Birmingham,USA
220,52,2022-01-06,2022-01-10,Delivered,0.0,355.42,PayPal,Expedited,,London,USA
221,52,2023-12-06,2023-12-10,Delivered,19.99,1287.49,Debit Card,Expedited,SAVE10,Manchester,USA
222,52,2022-11-12,2022-11-17,Delivered,14.99,3083.73,Amazon Pay,Priority,FLASH25,San Antonio,USA
223,52,2024-02-13,2024-02-14,Delivered,29.99,3473.53,Gift Card,Same-Day,,Birmingham,USA
224,52,2024-05-31,2024-06-05,Delivered,9.99,3148.26,Credit Card,Standard,,San Antonio,Canada
225,53,2025-08-30,,,14.99,755.99,Amazon Pay,Priority,,San Jose,USA
226,53,2022-06-01,2022-06-04,Delivered,5.99,2295.37,Gift Card,Expedited,,Baltimore,USA
227,53,2024-03-28,2024-04-03,Delivered,0.0,2359.21,PayPal,Standard,,Columbus,USA
228,53,2022-07-22,2022-07-24,Delivered,0.0,2512.12,PayPal,Expedited,SAVE10,Memphis,USA
229,53,2021-03-26,2021-03-31,Delivered,5.99,3103.31,Credit Card,Standard,,Berlin,USA
230,54,2023-07-25,2023-07-27,Returned,14.99,344.88,Debit Card,Standard,,Austin,Germany
231,54,2021-07-03,,Cancelled,29.99,2403.4,PayPal,Standard,,Melbourne,UK
232,54,2022-03-23,2022-03-30,Delivered,0.0,2949.09,Debit Card,Expedited,PRIME15,Austin,USA
233,54,2024-03-08,2024-03-15,Delivered,0.0,N/A,Gift Card,Standard,PRIME15,Portland,USA
234,54,2021-03-25,,Cancelled,9.99,3255.22,PayPal,Standard,,Houston,USA
235,54,2024-04-05,,Shipped,29.99,899.03,PayPal,Expedited,SAVE10,Nashville,Germany
236,54,2022-01-22,2022-01-27,Delivered,0.0,1065.03,Amazon Pay,Priority,,Louisville,USA
237,54,2023-06-08,2023-06-09,Delivered,0.0,902.49,Credit Card,Standard,SUMMER20,San Jose,USA
238,54,2023-11-21,2023-11-27,Delivered,0.0,1872.97,Debit Card,Expedited,FLASH25,Munich,USA
239,54,2021-10-30,2021-11-05,Delivered,29.99,2492.14,PayPal,Standard,SAVE10,Fort Worth,UK
240,55,2022-05-06,2022-05-12,Delivered,5.99,3315.85,Credit Card,Standard,,Manchester,USA
241,55,2022-04-06,2022-04-09,Delivered,29.99,131.22,Credit Card,Priority,PRIME15,Los Angeles,USA
242,55,2022-07-01,,Processing,29.99,2549.9,Credit Card,Priority,,Tucson,USA
243,55,2024-04-16,,Shipped,19.99,1180.91,PayPal,Standard,,Toronto,USA
244,55,2023-03-16,,Cancelled,14.99,2721.45,PayPal,Same-Day,SUMMER20,Dallas,USA
245,55,2021-12-29,,Processing,0.0,1878.85,Debit Card,Standard,WELCOME5,Philadelphia,USA
246,55,2022-01-15,,Cancelled,5.99,2754.98,Credit Card,Priority,,San Diego,USA
247,55,2021-01-28,2021-01-30,Returned,5.99,2721.45,PayPal,Expedited,,Denver,USA
248,56,2024-08-25,2024-08-30,Delivered,29.99,3141.44,Credit Card,Standard,SUMMER20,Columbus,USA
249,56,2023-07-17,2023-07-21,Delivered,29.99,1608.06,Credit Card,Standard,WELCOME5,San Diego,Canada
250,56,2023-12-24,,Processing,0.0,3262.4,Amazon Pay,Expedited,WELCOME5,Seattle,USA
251,56,2021-11-17,2021-11-20,Delivered,19.99,984.97,Gift Card,Priority,SUMMER20,Seattle,Canada
252,56,2021-04-10,2021-04-14,Delivered,0.0,3045.23,Gift Card,Expedited,,El Paso,USA
253,56,2022-04-01,2022-04-03,Returned,14.99,1510.61,Amazon Pay,Priority,,San Diego,USA
254,56,2021-05-07,2021-05-14,Delivered,5.99,2855.37,Debit Card,Standard,,Oklahoma City,UK
255,57,2021-03-16,2021-03-18,Delivered,19.99,631.85,Credit Card,Priority,,Fort Worth,USA
256,57,2023-05-22,2023-05-27,Delivered,14.99,2426.13,PayPal,Expedited,,Austin,USA
257,57,2022-02-11,2022-02-13,Delivered,5.99,1235.21,PayPal,Standard,,Jacksonville,Australia
258,58,2022-05-20,,Processing,5.99,3382.6,Amazon Pay,Same-Day,,Austin,USA
259,58,2024-08-03,2024-08-04,Returned,0.0,3128.74,Credit Card,Standard,,Charlotte,USA
260,58,2022-04-07,2022-04-09,Delivered,0.0,1780.39,Debit Card,Standard,WELCOME5,Tucson,USA
261,58,2023-11-14,2023-11-18,Delivered,29.99,3359.04,Amazon Pay,Expedited,,San Antonio,USA
262,58,2023-10-04,2023-10-06,Delivered,5.99,2260.37,Amazon Pay,Priority,FLASH25,Philadelphia,Canada
263,58,2024-09-26,,Cancelled,29.99,924.86,Amazon Pay,Same-Day,,Albuquerque,USA
264,58,2021-09-26,2021-09-28,Delivered,0.0,3437.71,PayPal,Standard,,San Antonio,Germany
265,58,2022-08-22,,Shipped,5.99,1965.14,PayPal,Priority,,Las Vegas,USA
266,58,2021-04-28,,Cancelled,14.99,3475.23,Credit Card,Expedited,SAVE10,Toronto,USA
